player_id,"last_name, first_name",woba,xwOBA (MLB),xwOBA (ARut/MShi/INij),diff_woba_mlb_xwoba,diff_woba_our_xwoba
663837,"Vierling, Matt",0.317,0.309,0.333,0.008000000000000007,-0.016000000000000014
669701,"Smith, Josh",0.323,0.304,0.31,0.019000000000000017,0.013000000000000012
606466,"Marte, Ketel",0.391,0.392,0.402,-0.0010000000000000009,-0.01100000000000001
607208,"Turner, Trea",0.349,0.318,0.335,0.030999999999999972,0.013999999999999957
694192,"Chourio, Jackson",0.339,0.328,0.345,0.01100000000000001,-0.00599999999999995
650489,"Castro, Willi",0.317,0.32,0.332,-0.0030000000000000027,-0.015000000000000013
663697,"India, Jonathan",0.333,0.352,0.36,-0.01899999999999996,-0.02699999999999997
666971,"Gurriel Jr., Lourdes",0.327,0.319,0.352,0.008000000000000007,-0.024999999999999967
656305,"Chapman, Matt",0.34,0.341,0.351,-0.0010000000000000009,-0.010999999999999954
650559,"De La Cruz, Bryan",0.283,0.302,0.314,-0.019000000000000017,-0.031000000000000028
694384,"Schanuel, Nolan",0.315,0.321,0.335,-0.006000000000000005,-0.020000000000000018
502671,"Goldschmidt, Paul",0.31,0.329,0.345,-0.019000000000000017,-0.034999999999999976
543807,"Springer III, George",0.298,0.322,0.347,-0.02400000000000002,-0.04899999999999999
621566,"Olson, Matt",0.339,0.341,0.365,-0.0020000000000000018,-0.025999999999999968
668715,"Steer, Spencer",0.316,0.315,0.33,0.0010000000000000009,-0.014000000000000012
624413,"Alonso, Pete",0.34,0.343,0.397,-0.0030000000000000027,-0.056999999999999995
683734,"Vaughn, Andrew",0.304,0.319,0.333,-0.015000000000000013,-0.029000000000000026
670623,"Paredes, Isaac",0.327,0.304,0.336,0.02300000000000002,-0.009000000000000008
661388,"Contreras, William",0.359,0.358,0.374,0.0010000000000000009,-0.015000000000000013
670541,"Alvarez, Yordan",0.402,0.411,0.439,-0.008999999999999952,-0.03699999999999998
650402,"Torres, Gleyber",0.313,0.307,0.352,0.006000000000000005,-0.03899999999999998
665742,"Soto, Juan",0.421,0.462,0.517,-0.041000000000000036,-0.09600000000000003
668930,"Turang, Brice",0.294,0.297,0.301,-0.0030000000000000027,-0.007000000000000006
647304,"Naylor, Josh",0.332,0.335,0.367,-0.0030000000000000027,-0.034999999999999976
678662,"Tovar, Ezequiel",0.324,0.289,0.303,0.03500000000000003,0.02100000000000002
650490,"Díaz, Yandy",0.331,0.336,0.363,-0.0050000000000000044,-0.03199999999999997
668939,"Rutschman, Adley",0.309,0.315,0.338,-0.006000000000000005,-0.029000000000000026
676475,"Burleson, Alec",0.319,0.329,0.348,-0.010000000000000009,-0.02899999999999997
672580,"Garcia, Maikel",0.27,0.3,0.317,-0.02999999999999997,-0.046999999999999986
608324,"Bregman, Alex",0.331,0.319,0.361,0.01200000000000001,-0.02999999999999997
665161,"Peña, Jeremy",0.305,0.31,0.318,-0.0050000000000000044,-0.013000000000000012
